Player,Season,Height_in,Height_cm,Position,Team,Games,MPG,PPG
Nikola JokiÄ,2023-24,,,C,DEN,74,33.5,27.1
Nikola VuÄeviÄ,2023-24,,,C,CHI,73,33.1,17.6
Norman Powell,2023-24,75,190.5,SF,2TM,45,32.4,19
OG Anunoby,2023-24,79,200.66,SF,TOR,48,36,17.1
Obi Toppin,2023-24,81,205.74,PF,NYK,72,17.1,9
Olivier Sarr,2023-24,84,213.36,C,OKC,22,19.1,7
Omer Yurtseven,2023-24,84,213.36,C,MIA,56,12.6,5.3
Onyeka Okongwu,2023-24,80,203.2,C,ATL,48,20.7,8.2
Oshae Brissett,2023-24,79,200.66,SF,IND,67,23.3,9.1
Otto Porter Jr.,2023-24,80,203.2,PF,GSW,63,22.2,8.2
P.J. Tucker,2023-24,77,195.58,PF,MIA,71,27.9,7.6
P.J. Washington,2023-24,79,200.66,C,CHO,65,27.2,10.3
Pascal Siakam,2023-24,80,203.2,PF,TOR,68,37.9,22.8
Pat Connaughton,2023-24,77,195.58,SF,MIL,65,26,9.9
Patrick Beverley,2023-24,74,187.96,PG,MIN,58,25.4,9.2
Patty Mills,2023-24,74,187.96,SG,BRK,81,29,11.4
Paul George,2023-24,80,203.2,PF,LAC,31,34.7,24.3
Payton Pritchard,2023-24,73,185.42,PG,BOS,71,14.1,6.2
Precious Achiuwa,2023-24,80,203.2,C,TOR,73,23.6,9.1
Quentin Grimes,2023-24,77,195.58,SG,NYK,46,17.1,6
R.J. Hampton,2023-24,76,193.04,SG,ORL,64,21.9,7.6
RJ Barrett,2023-24,78,198.12,SF,NYK,70,34.5,20
Raul Neto,2023-24,73,185.42,PG,WAS,70,19.6,7.5
Reggie Bullock,2023-24,78,198.12,SF,DAL,68,28,8.6
Reggie Jackson,2023-24,74,187.96,SG,LAC,75,31.2,16.8
Richaun Holmes,2023-24,82,208.28,C,SAC,45,23.9,10.4
Ricky Rubio,2023-24,74,187.96,PG,CLE,34,28.5,13.1
Robert Covington,2023-24,79,200.66,PF,2TM,71,27.3,8.5
Robert Williams,2023-24,81,205.74,C,BOS,61,29.6,10
Robin Lopez,2023-24,85,215.9,C,ORL,36,17,7.1
Rodney McGruder,2023-24,76,193.04,SG,DET,51,14.8,5.4
Royce O'Neale,2023-24,76,193.04,SF,UTA,77,31.2,7.4
Rudy Gay,2023-24,80,203.2,PF,UTA,55,18.9,8.1
Rudy Gobert,2023-24,85,215.9,C,UTA,66,32.1,15.6
Rui Hachimura,2023-24,80,203.2,PF,WAS,42,22.5,11.3
Russell Westbrook,2023-24,76,193.04,PG,LAL,78,34.3,18.5
Saben Lee,2023-24,74,187.96,PG,DET,37,16.3,5.6
Saddiq Bey,2023-24,79,200.66,SF,DET,82,33,16.1
Scottie Barnes,2023-24,79,200.66,PF,TOR,74,35.4,15.3
Serge Ibaka,2023-24,83,210.82,C,2TM,54,16.2,6.8
Seth Curry,2023-24,73,185.42,SG,2TM,64,33.4,15
Shai Gilgeous-Alexander,2023-24,78,198.12,PG,OKC,56,34.7,24.5
Shake Milton,2023-24,77,195.58,SG,PHI,55,21.4,8.2
Spencer Dinwiddie,2023-24,77,195.58,PG,2TM,67,29.6,13.7
Stanley Johnson,2023-24,78,198.12,PF,LAL,48,22.8,6.7
Stephen Curry,2023-24,74,187.96,PG,GSW,64,34.5,25.5
Steven Adams,2023-24,83,210.82,C,MEM,76,26.3,6.9
T.J. McConnell,2023-24,73,185.42,PG,IND,27,24.1,8.5
Talen Horton-Tucker,2023-24,76,193.04,SG,LAL,60,25.2,10
Taurean Prince,2023-24,78,198.12,PF,MIN,69,17.1,7.3
Terance Mann,2023-24,77,195.58,SF,LAC,81,28.6,10.8
Terence Davis,2023-24,76,193.04,SG,SAC,30,17.9,10.4
Terrence Ross,2023-24,78,198.12,SG,ORL,63,23,10
Terry Rozier,2023-24,73,185.42,SG,CHO,73,33.7,19.3
Terry Taylor,2023-24,77,195.58,PF,IND,33,21.6,9.6
Thaddeus Young,2023-24,80,203.2,PF,2TM,52,16.3,6.2
Thomas Bryant,2023-24,82,208.28,C,WAS,27,16.3,7.4
ThÃ©o Maledon,2023-24,,,PG,OKC,51,17.8,7.1
Tim Hardaway Jr.,2023-24,77,195.58,SG,DAL,42,29.6,14.2
Tobias Harris,2023-24,80,203.2,PF,PHI,73,34.8,17.2
Torrey Craig,2023-24,79,200.66,SF,2TM,78,20.5,6.6
Trae Young,2023-24,73,185.42,PG,ATL,76,34.9,28.4
Tre Jones,2023-24,73,185.42,PG,SAS,69,16.6,6
Tre Mann,2023-24,75,190.5,PG,OKC,60,22.8,10.4
Trendon Watford,2023-24,81,205.74,SF,POR,48,18.1,7.6
Trey Burke,2023-24,72,182.88,PG,DAL,42,10.5,5.1
Trey Lyles,2023-24,81,205.74,PF,2TM,75,20.5,10.5
Trey Murphy III,2023-24,80,203.2,SF,NOP,62,13.9,5.4
Tristan Thompson,2023-24,81,205.74,C,3TM,57,15.7,6
Ty Jerome,2023-24,77,195.58,SG,OKC,48,16.7,7.1
Tyler Herro,2023-24,77,195.58,SG,MIA,66,32.6,20.7
Tyrese Haliburton,2023-24,77,195.58,PG,2TM,77,35,15.3
Tyrese Maxey,2023-24,74,187.96,PG,PHI,75,35.3,17.5
Tyus Jones,2023-24,73,185.42,PG,MEM,73,21.2,8.7
VÃ­t KrejÄÃ­,2023-24,,,SG,OKC,30,23,6.2
Wayne Ellington,2023-24,76,193.04,SG,LAL,43,18.8,6.7
Wendell Carter Jr.,2023-24,82,208.28,PF,ORL,62,29.9,15
Wenyen Gabriel,2023-24,81,205.74,PF,3TM,26,13.8,5.4
Wesley Matthews,2023-24,77,195.58,SG,MIL,49,20.4,5.1
Will Barton,2023-24,77,195.58,SG,DEN,71,32.1,14.7
Willy HernangÃ³mez,2023-24,,,C,NOP,50,16.8,9.1
Zach Collins,2023-24,83,210.82,C,SAS,28,17.9,7.8
Zach LaVine,2023-24,77,195.58,SG,CHI,67,34.7,24.4
Zeke Nnaji,2023-24,81,205.74,PF,DEN,41,17,6.6
Ziaire Williams,2023-24,81,205.74,SF,MEM,62,21.7,8.1
A.J. Green,2024-25,76,193.04,SG,MIL,78,29.1,10.4
Aaron Gordon,2024-25,80,203.2,PF,DEN,36,27.9,16.2
Aaron Holiday,2024-25,72,182.88,PG,HOU,57,13.7,5.5
Aaron Nesmith,2024-25,77,195.58,SF,IND,45,29.7,13.8
Aaron Wiggins,2024-25,78,198.12,SG,OKC,65,21.8,9.4
Ace Bailey,2024-25,,,SF,UTA,72,27.6,13.8
Ajay Mitchell,2024-25,77,195.58,SG,OKC,57,25.8,13.6
Al Horford,2024-25,81,205.74,C,GSW,45,21.5,8.3
Alex Caruso,2024-25,77,195.58,SG,OKC,56,18.2,6.2
Alex Sarr,2024-25,84,213.36,C,WAS,48,27.2,16.3
Alperen ÅengÃ¼n,2024-25,,,C,HOU,72,33.3,20.4
Amen Thompson,2024-25,79,200.66,PG,HOU,79,37.4,18.3
Andre Drummond,2024-25,83,210.82,C,PHI,63,19.5,6.4
Andrew Nembhard,2024-25,77,195.58,PG,IND,57,31.3,16.9
Andrew Wiggins,2024-25,79,200.66,SF,MIA,68,30.3,15.4
Anfernee Simons,2024-25,75,190.5,SG,2TM,55,24.9,14.3
Anthony Black,2024-25,79,200.66,PG,ORL,64,29.8,15
Anthony Davis,2024-25,82,208.28,PF,DAL,20,31.3,20.4
Anthony Edwards,2024-25,76,193.04,SG,MIN,61,35,28.8
Anthony Gill,2024-25,79,200.66,PF,WAS,55,17.3,5.8
Asa Newell,2024-25,,,PF,ATL,44,11.4,5.2
Ausar Thompson,2024-25,79,200.66,SF,DET,73,26,9.9
Austin Reaves,2024-25,77,195.58,SG,LAL,51,34.5,23.3
Ayo Dosunmu,2024-25,77,195.58,SG,2TM,69,27.3,14.8
Bam Adebayo,2024-25,81,205.74,C,MIA,73,32.4,20.1
Baylor Scheierman,2024-25,78,198.12,SG,BOS,77,18.6,5.5
Ben Saraf,2024-25,,,SG,BRK,44,20.8,7.5
Ben Sheppard,2024-25,78,198.12,SG,IND,65,21.4,7.1
Bennedict Mathurin,2024-25,78,198.12,SF,2TM,54,30,17.6
Bilal Coulibaly,2024-25,78,198.12,SG,WAS,56,26.2,11.7
Bobby Portis,2024-25,82,208.28,PF,MIL,67,24.2,13.7
Bogdan BogdanoviÄ,2024-25,,,SG,LAC,23,19.7,7.4
Bones Hyland,2024-25,74,187.96,PG,MIN,71,16.6,8.5
Branden Carlson,2024-25,84,213.36,C,OKC,42,11.6,5.8
Brandin Podziemski,2024-25,77,195.58,SG,GSW,82,28.5,13.8
Brandon Ingram,2024-25,80,203.2,SF,TOR,77,33.8,21.5
Brandon Miller,2024-25,81,205.74,SF,CHO,65,30.3,20.2
Brandon Williams,2024-25,78,198.12,PG,DAL,66,22.2,13
Brandon Williams,2024-25,73,185.42,PG,DAL,66,22.2,13
Brice Sensabaugh,2024-25,78,198.12,SF,UTA,75,23.5,14.9
Brook Lopez,2024-25,85,215.9,C,LAC,75,21.8,8.5
Bruce Brown,2024-25,76,193.04,SG,DEN,82,24.4,7.9
Bryce McGowens,2024-25,79,200.66,SG,NOP,42,21,8.1
Bub Carrington,2024-25,76,193.04,PG,WAS,82,27.7,10.7
Buddy Hield,2024-25,76,193.04,SG,2TM,51,16.1,7.6
CJ McCollum,2024-25,75,190.5,PG,2TM,76,29.8,18.7
Cade Cunningham,2024-25,78,198.12,PG,DET,64,33.9,23.9
Caleb Love,2024-25,,,SG,POR,49,20.7,10.4
Cam Spencer,2024-25,75,190.5,SG,MEM,72,23.8,11.1
Cam Thomas,2024-25,76,193.04,SG,2TM,42,21,13.5
Cam Whitmore,2024-25,79,200.66,SF,WAS,21,16.9,9.2
Cameron Johnson,2024-25,80,203.2,SF,DEN,54,30.5,12.2
Cameron Payne,2024-25,75,190.5,PG,PHI,22,17,7.4
Caris LeVert,2024-25,78,198.12,SG,DET,60,19.2,7.4
Cason Wallace,2024-25,76,193.04,SG,OKC,77,26.6,8.6
Cedric Coward,2024-25,,,SG,MEM,62,25.8,13.6
Chet Holmgren,2024-25,85,215.9,PF,OKC,69,28.9,17.1
Christian Braun,2024-25,78,198.12,SG,DEN,44,31.8,12
Coby White,2024-25,77,195.58,SG,2TM,50,25,17.4
Cody Williams,2024-25,79,200.66,SG,UTA,67,24.3,8.8
Cole Anthony,2024-25,74,187.96,PG,MIL,35,15.1,6.7
Collin Gillespie,2024-25,73,185.42,PG,PHO,80,28.5,12.7
Collin Murray-Boyles,2024-25,,,PF,TOR,57,21.9,8.5
Collin Sexton,2024-25,75,190.5,SG,2TM,68,23.7,15.4
Cooper Flagg,2024-25,,,SF,DAL,70,33.5,21
Corey Kispert,2024-25,79,200.66,SF,2TM,58,18.6,9.2
D'Angelo Russell,2024-25,75,190.5,PG,DAL,26,19,10.2
Daeqwon Plowden,2024-25,78,198.12,SG,SAC,32,26.4,10.8
Daniel Gafford,2024-25,82,208.28,C,DAL,55,21.7,9.5
Daniss Jenkins,2024-25,75,190.5,PG,DET,72,20.2,9.3
Danny Wolf,2024-25,,,PF,BRK,57,20.8,8.9
Darius Garland,2024-25,73,185.42,PG,2TM,45,29.9,18.8
Davion Mitchell,2024-25,74,187.96,PG,MIA,70,28.6,9.3
Day'Ron Sharpe,2024-25,83,210.82,C,BRK,62,18.7,8.7
De'Aaron Fox,2024-25,75,190.5,PG,SAS,72,31,18.6
De'Andre Hunter,2024-25,80,203.2,SF,2TM,45,26.1,13.7
De'Anthony Melton,2024-25,74,187.96,PG,GSW,49,23,12.3
DeMar DeRozan,2024-25,78,198.12,PF,SAC,77,31.2,18.4
Dean Wade,2024-25,81,205.74,PF,CLE,59,22.3,5.8
Deandre Ayton,2024-25,84,213.36,C,LAL,72,27.2,12.5
Deni Avdija,2024-25,81,205.74,SF,POR,66,33.3,24.2
Dennis SchrÃ¶der,2024-25,,,PG,2TM,70,24.2,10.8
Derik Queen,2024-25,,,C,NOP,81,25,11.7
Derrick Jones Jr.,2024-25,77,195.58,SF,LAC,50,27,10.1
Derrick White,2024-25,76,193.04,SG,BOS,77,34.1,16.5
Desmond Bane,2024-25,77,195.58,SG,ORL,82,33.6,20.1
Devin Booker,2024-25,78,198.12,SG,PHO,64,33.5,26.1
Devin Carter,2024-25,74,187.96,PG,SAC,38,18.4,8.9
Devin Vassell,2024-25,77,195.58,SG,SAS,67,30.5,13.9
Dillon Brooks,2024-25,78,198.12,SF,PHO,56,30.4,20.2
Dominick Barlow,2024-25,81,205.74,PF,PHI,71,23.8,7.7
Donovan Clingan,2024-25,86,218.44,C,POR,77,27.2,12.1
Donovan Mitchell,2024-25,75,190.5,SG,CLE,70,33.5,27.9
Donte DiVincenzo,2024-25,76,193.04,SG,MIN,82,30.4,12.2
Doug McDermott,2024-25,78,198.12,SF,SAC,29,15.1,5.7
Drake Powell,2024-25,,,SG,BRK,63,21,6.5
Draymond Green,2024-25,78,198.12,PF,GSW,68,27.5,8.4
Drew Eubanks,2024-25,81,205.74,C,SAC,42,13.1,5.2
Dru Smith,2024-25,75,190.5,SG,MIA,70,16.3,5.6
Duncan Robinson,2024-25,79,200.66,SG,DET,77,27.4,12.2
Dylan Cardwell,2024-25,,,C,SAC,44,20.6,5.4
Dylan Harper,2024-25,,,SG,SAS,69,22.6,11.8
Dyson Daniels,2024-25,80,203.2,SG,ATL,76,33.2,11.9
E.J. Liddell,2024-25,79,200.66,PF,BRK,26,13.4,5.7
Egor DÑmin,2024-25,,,PG,BRK,52,25.2,10.3
Elijah Harkless,2024-25,75,190.5,SG,UTA,26,21,6.8
Ethan Thompson,2024-25,,,SG,IND,32,20.4,7
Evan Mobley,2024-25,83,210.82,PF,CLE,65,31.9,18.2
Franz Wagner,2024-25,82,208.28,SF,ORL,34,30,20.6
GG Jackson II,2024-25,81,205.74,PF,MEM,55,21.4,12.5
Gary Payton II,2024-25,74,187.96,SG,GSW,73,15.6,7.5
Gary Trent Jr.,2024-25,77,195.58,SG,MIL,65,21.2,8.1
Giannis Antetokounmpo,2024-25,83,210.82,PF,MIL,36,28.9,27.6
Goga Bitadze,2024-25,83,210.82,C,ORL,64,15.2,5.9
Gradey Dick,2024-25,78,198.12,SG,TOR,76,14,6
Grant Williams,2024-25,78,198.12,PF,CHO,36,19.8,7
Grayson Allen,2024-25,76,193.04,SG,PHO,51,28.8,16.5
Guerschon Yabusele,2024-25,80,203.2,C,2TM,67,15,5.6
Gui Santos,2024-25,80,203.2,PF,GSW,68,20.5,9.2
Harrison Barnes,2024-25,80,203.2,PF,SAS,77,25.8,9.9
Herbert Jones,2024-25,80,203.2,SF,NOP,56,28.4,8.9
Immanuel Quickley,2024-25,75,190.5,PG,TOR,70,31.9,16.4
Isaac Okoro,2024-25,77,195.58,SG,CHI,63,26.9,9.3
Isaiah Collier,2024-25,75,190.5,PG,UTA,59,25.7,11.7
Isaiah Hartenstein,2024-25,84,213.36,C,OKC,47,24.2,9.2
Isaiah Jackson,2024-25,82,208.28,C,2TM,55,16.5,6.7
Isaiah Joe,2024-25,77,195.58,SG,OKC,71,21.2,11.1
Isaiah Stewart,2024-25,80,203.2,C,DET,58,22.7,10
Ivica Zubac,2024-25,84,213.36,C,2TM,48,30.1,14.1
Ja Morant,2024-25,74,187.96,PG,MEM,20,28.5,19.5
Ja'Kobe Walter,2024-25,77,195.58,SG,TOR,72,20.5,7.5
Jabari Smith Jr.,2024-25,83,210.82,PF,HOU,77,35.1,15.8
Jaden Hardy,2024-25,76,193.04,SG,2TM,57,15.8,9.2
Jaden Ivey,2024-25,76,193.04,SG,2TM,37,18.1,8.5
Jaden McDaniels,2024-25,81,205.74,PF,MIN,73,31.7,14.8
Jahmai Mashack,2024-25,,,SG,MEM,31,21.7,6.2
Jaime Jaquez Jr.,2024-25,78,198.12,SF,MIA,75,28.3,15.4
Jake LaRavia,2024-25,80,203.2,PF,LAL,82,25.1,8.2
Jakob Poeltl,2024-25,84,213.36,C,TOR,46,25,10.7
Jalen Brunson,2024-25,74,187.96,PG,NYK,74,35,26
Jalen Duren,2024-25,82,208.28,C,DET,70,28.2,19.5
Jalen Green,2024-25,76,193.04,SG,PHO,32,25.9,17.8
Jalen Johnson,2024-25,81,205.74,SF,ATL,72,35.2,22.5
Jalen Pickett,2024-25,76,193.04,SG,DEN,50,16.1,5.2
Jalen Smith,2024-25,82,208.28,C,CHI,53,20.7,10.2
Jalen Suggs,2024-25,77,195.58,PG,ORL,57,27.6,13.8
Jalen Williams,2024-25,78,198.12,SG,OKC,33,28.4,17.1
Jalen Wilson,2024-25,80,203.2,PF,BRK,54,15.9,6.4
Jamal Cain,2024-25,79,200.66,SF,ORL,40,12.2,5.4
Jamal Murray,2024-25,76,193.04,PG,DEN,75,35.4,25.4
Jamal Shead,2024-25,72,182.88,PG,TOR,82,22.6,6.6
Jamaree Bouyea,2024-25,74,187.96,PG,PHO,46,14,5.7
James Harden,2024-25,77,195.58,PG,2TM,70,34.8,23.6
Jamir Watkins,2024-25,,,SG,WAS,50,20.6,7.4
Jarace Walker,2024-25,80,203.2,PF,IND,76,25.7,11.6
Jared McCain,2024-25,74,187.96,SG,2TM,67,17.3,8.3
Jaren Jackson Jr.,2024-25,82,208.28,C,2TM,48,30.3,19.4
Jarrett Allen,2024-25,83,210.82,C,CLE,56,27.1,15.4
Javon Small,2024-25,,,PG,MEM,41,20.2,9.7
Javonte Green,2024-25,76,193.04,SG,DET,82,17.6,6.9
Jaxson Hayes,2024-25,84,213.36,C,LAL,66,18.3,7.5
Jay Huff,2024-25,85,215.9,C,IND,82,21,9.5
Jaylen Brown,2024-25,78,198.12,SF,BOS,71,34.4,28.7
Jaylen Wells,2024-25,79,200.66,SG,MEM,69,26.4,12.5
Jaylin Williams,2024-25,80,203.2,PF,OKC,65,19.6,7.2
Jaylon Tyson,2024-25,78,198.12,SG,CLE,66,26.9,13.2
Jerami Grant,2024-25,79,200.66,PF,POR,57,29.7,18.6
Jeremiah Fears,2024-25,,,PG,NOP,82,25.8,14.3
Jett Howard,2024-25,80,203.2,SF,ORL,55,12.6,5.5
Jevon Carter,2024-25,73,185.42,PG,2TM,53,16.4,6.4
Jimmy Butler,2024-25,79,200.66,SF,GSW,38,31.1,20
Jock Landale,2024-25,83,210.82,C,2TM,68,22.1,10.6
Joel Embiid,2024-25,84,213.36,C,PHI,38,31.6,26.9
John Collins,2024-25,81,205.74,PF,LAC,69,27.1,13.6
Jonas ValanÄiÅ«nas,2024-25,,,C,DEN,65,13.4,8.7
Jonathan Kuminga,2024-25,80,203.2,PF,2TM,36,23.1,12.2
Jordan Clarkson,2024-25,75,190.5,SG,NYK,72,17.8,8.6
Jordan Goodwin,2024-25,75,190.5,PG,PHO,70,22.5,8.7
Jordan Miller,2024-25,79,200.66,SF,LAC,60,22.1,10
Jordan Poole,2024-25,76,193.04,PG,NOP,39,23.9,13.4
Jordan Walsh,2024-25,79,200.66,PF,BOS,68,17.8,5.4
Jose Alvarado,2024-25,72,182.88,PG,2TM,69,19.9,7.4
Josh Giddey,2024-25,80,203.2,PG,CHI,54,32.1,17
Josh Hart,2024-25,76,193.04,SF,NYK,66,30.2,12
Josh Minott,2024-25,80,203.2,PF,2TM,49,17,7.4
Jrue Holiday,2024-25,76,193.04,PG,POR,53,29.4,16.3
Julian Champagnie,2024-25,80,203.2,SF,SAS,82,27.6,11.1
Julian Strawther,2024-25,79,200.66,SG,DEN,57,15.1,7.2
Julius Randle,2024-25,81,205.74,PF,MIN,79,33,21.1
Justin Champagnie,2024-25,78,198.12,SF,WAS,69,20,8.7
Justin Edwards,2024-25,78,198.12,SF,PHI,64,15.3,6
Jusuf NurkiÄ,2024-25,,,C,UTA,41,26.4,10.9
Karl-Anthony Towns,2024-25,84,213.36,C,NYK,75,31,20.1
Karlo MatkoviÄ,2024-25,,,PF,NOP,62,14.7,5.7
Kasparas JakuÄionis,2024-25,,,PG,MIA,53,17.8,6.2
Kawhi Leonard,2024-25,79,200.66,SF,LAC,65,32.1,27.9
Keegan Murray,2024-25,80,203.2,PF,SAC,23,34.5,14
Kel'el Ware,2024-25,84,213.36,C,MIA,77,22.1,11.1
Keldon Johnson,2024-25,77,195.58,SF,SAS,82,23.3,13.2
Kelly Oubre Jr.,2024-25,80,203.2,SF,PHI,50,31.5,14.1
Kenrich Williams,2024-25,79,200.66,PF,OKC,56,15.3,6.5
Kentavious Caldwell-Pope,2024-25,77,195.58,SG,MEM,51,21.3,8.4
Keon Ellis,2024-25,78,198.12,SG,2TM,72,20.5,6.7
Kevin Durant,2024-25,83,210.82,SF,HOU,78,36.4,26
Kevin Huerter,2024-25,79,200.66,SF,2TM,69,22.4,10
Kevin Love,2024-25,80,203.2,PF,UTA,37,16.6,6.7
Kevin Porter Jr.,2024-25,76,193.04,PG,MIL,38,33.2,17.4
Keyonte George,2024-25,76,193.04,PG,UTA,54,33.1,23.6
Khris Middleton,2024-25,79,200.66,SF,2TM,63,22.8,10.2
Killian Hayes,2024-25,77,195.58,PG,SAC,23,17.7,5.5
Klay Thompson,2024-25,77,195.58,SF,DAL,69,21.7,11.7
Kobe Brown,2024-25,79,200.66,PF,2TM,61,15.8,5.8
Kobe Sanders,2024-25,,,SG,LAC,68,19.9,7.3
Kon Knueppel,2024-25,,,SF,CHO,81,31.5,18.5
Kris Dunn,2024-25,75,190.5,PG,LAC,82,27.2,7.3
Kris Murray,2024-25,80,203.2,SF,POR,57,23.4,5.8
Kristaps PorziÅÄ£is,2024-25,,,C,2TM,32,24,16.7
Kyle Anderson,2024-25,81,205.74,SF,3TM,43,19.8,6.2
Kyle Filipowski,2024-25,83,210.82,C,UTA,77,23.4,11.4
Kyle Kuzma,2024-25,81,205.74,PF,MIL,69,26.2,13
Kyshawn George,2024-25,79,200.66,SF,WAS,48,29,14.8
LaMelo Ball,2024-25,79,200.66,PG,CHO,72,28,20.1
Landry Shamet,2024-25,76,193.04,SG,NYK,51,23,9.3
Lauri Markkanen,2024-25,84,213.36,PF,UTA,42,34.4,26.7
LeBron James,2024-25,81,205.74,SF,LAL,60,33.2,20.9
Leonard Miller,2024-25,82,208.28,SF,2TM,46,15.6,7.8
Luguentz Dort,2024-25,76,193.04,SF,OKC,69,26.8,8.3
Luka DonÄiÄ,2024-25,,,PG,LAL,64,35.8,33.5
Luka Garza,2024-25,82,208.28,C,BOS,69,16.2,8.1
Luke Kennard,2024-25,77,195.58,SG,2TM,78,21.6,8.4
Luke Kornet,2024-25,86,218.44,C,SAS,68,21,6.5
Malik Monk,2024-25,75,190.5,SG,SAC,62,22,12.5
Marcus Sasser,2024-25,74,187.96,PG,DET,38,12,5.2
Marcus Smart,2024-25,75,190.5,SG,LAL,62,28.5,9.3
Mark Williams,2024-25,84,213.36,C,PHO,60,23.6,11.7
Marvin Bagley III,2024-25,82,208.28,PF,2TM,60,20,10.5
Matas Buzelis,2024-25,82,208.28,PF,CHI,77,29.2,16.3
Matisse Thybulle,2024-25,77,195.58,SG,POR,30,16,5.8
Max Christie,2024-25,78,198.12,SG,DAL,77,29.1,12.3
Maxime Raynaud,2024-25,,,C,SAC,74,26.5,12.5
Micah Potter,2024-25,82,208.28,C,IND,47,19.3,9.7
Michael Porter Jr.,2024-25,82,208.28,SF,BRK,52,32.5,24.2
Mikal Bridges,2024-25,78,198.12,SF,NYK,82,32.8,14.4
Miles Bridges,2024-25,79,200.66,PF,CHO,77,31,17.1
Miles McBride,2024-25,74,187.96,SG,NYK,41,26.3,12
Mitchell Robinson,2024-25,84,213.36,C,NYK,60,19.6,5.7
Moritz Wagner,2024-25,83,210.82,C,ORL,36,11.9,6.9
Moses Moody,2024-25,77,195.58,SG,GSW,60,25.7,12.1
Moussa DiabatÃ©,2024-25,,,C,CHO,73,26,7.9
Myles Turner,2024-25,83,210.82,C,MIL,71,26.9,11.9
Nae'Qwan Tomlin,2024-25,82,208.28,PF,CLE,64,15.7,5.8
Naji Marshall,2024-25,79,200.66,SF,DAL,74,29.5,15.2
Naz Reid,2024-25,81,205.74,C,MIN,77,26.1,13.6
Neemias Queta,2024-25,84,213.36,C,BOS,76,25.3,10.2
Nic Claxton,2024-25,83,210.82,C,BRK,69,27.8,11.7
Nick Richards,2024-25,84,213.36,C,2TM,48,14.6,5.8
Nick Smith Jr.,2024-25,74,187.96,SG,LAL,30,12.5,6.2
Nickeil Alexander-Walker,2024-25,77,195.58,SG,ATL,78,33.4,20.8
Nikola JokiÄ,2024-25,,,C,DEN,65,34.8,27.7
Nikola JoviÄ,2024-25,,,PF,MIA,47,17.2,7.3
Nikola VuÄeviÄ,2024-25,,,C,2TM,64,28.4,15.1
Nique Clifford,2024-25,,,SG,SAC,75,25.1,8.6
Noah Clowney,2024-25,82,208.28,PF,BRK,66,27,12.3
Nolan TraorÃ©,2024-25,,,PG,BRK,56,22.2,8.9
Norman Powell,2024-25,75,190.5,SG,MIA,58,29.6,21.7
OG Anunoby,2024-25,79,200.66,PF,NYK,67,33.2,16.7
Obi Toppin,2024-25,81,205.74,PF,IND,24,17.7,11.6
Olivier-Maxence Prosper,2024-25,80,203.2,PF,MEM,53,18.6,10
Onyeka Okongwu,2024-25,80,203.2,C,ATL,74,31,15.2
Oscar Tshiebwe,2024-25,81,205.74,C,UTA,27,16.6,7.8
Oso Ighodaro,2024-25,82,208.28,PF,PHO,82,22,6.5
Ousmane Dieng,2024-25,82,208.28,C,2TM,57,19.3,7.6
P.J. Washington,2024-25,79,200.66,PF,DAL,56,31,14.2
Paolo Banchero,2024-25,82,208.28,PF,ORL,72,34.8,22.2
Pascal Siakam,2024-25,80,203.2,PF,IND,62,33.2,24
Pat Spencer,2024-25,75,190.5,PG,GSW,66,18.6,7.2
Patrick Williams,2024-25,79,200.66,PF,CHI,72,20.5,7
Paul George,2024-25,80,203.2,PF,PHI,37,30.7,17.3
Paul Reed,2024-25,81,205.74,C,DET,65,13.9,7.8
Payton Pritchard,2024-25,73,185.42,PG,BOS,79,32.4,17
Pelle Larsson,2024-25,77,195.58,SG,MIA,70,26.4,11.4
Pete Nance,2024-25,83,210.82,PF,MIL,47,15.7,5.4
Peyton Watson,2024-25,80,203.2,SF,DEN,54,29.6,14.6
Precious Achiuwa,2024-25,80,203.2,C,SAC,73,23.9,10.1
Quentin Grimes,2024-25,77,195.58,SG,PHI,75,29.4,13.4
Quenton Jackson,2024-25,77,195.58,PG,IND,49,18.3,9.1
Quinten Post,2024-25,84,213.36,PF,GSW,67,17.3,7.7
RJ Barrett,2024-25,78,198.12,SF,TOR,57,30.3,19.3
Rayan Rupert,2024-25,78,198.12,SG,2TM,64,16.8,5.2
Reed Sheppard,2024-25,74,187.96,SG,HOU,82,26.2,13.5
Rob Dillingham,2024-25,73,185.42,PG,2TM,65,14.9,6.3
Robert Williams,2024-25,81,205.74,C,POR,59,17.1,6.7
Ron Holland,2024-25,80,203.2,SF,DET,78,19.9,8.2
Royce O'Neale,2024-25,76,193.04,SF,PHO,78,28.4,9.8
Rudy Gobert,2024-25,85,215.9,C,MIN,76,31.3,10.9
Rui Hachimura,2024-25,80,203.2,PF,LAL,68,28.3,11.5
Russell Westbrook,2024-25,76,193.04,SF,SAC,64,29,15.2
Ryan Dunn,2024-25,78,198.12,SF,PHO,70,19.4,5.8
Ryan Kalkbrenner,2024-25,,,C,CHO,69,21.4,7.6
Ryan Nembhard,2024-25,,,PG,DAL,60,19.5,6.6
Ryan Rollins,2024-25,76,193.04,PG,MIL,74,32.1,17.3
Saddiq Bey,2024-25,79,200.66,SF,NOP,72,31.2,17.7
Sam Hauser,2024-25,80,203.2,PF,BOS,78,24.8,9.2
Sam Merrill,2024-25,76,193.04,SG,CLE,52,26.5,12.8
Sandro Mamukelashvili,2024-25,83,210.82,C,TOR,80,21.9,11.2
